"method","url"
"igraph_coreness","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_coreness"
"igraph_correlated_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_correlated_game"
"igraph_correlated_pair_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_correlated_pair_game"
"igraph_count_adjacent_triangles","https://igraph.org/c/html/latest/igraph-Motifs.html#igraph_count_adjacent_triangles"
"igraph_count_automorphisms","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_count_automorphisms"
"igraph_count_automorphisms_bliss","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_count_automorphisms_bliss"
"igraph_count_isomorphisms_vf2","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_count_isomorphisms_vf2"
"igraph_count_loops","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_count_loops"
"igraph_count_multiple","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_count_multiple"
"igraph_count_multiple_1","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_count_multiple_1"
"igraph_count_reachable","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_count_reachable"
"igraph_count_subisomorphisms_vf2","https://igraph.org/c/html/latest/igraph-Isomorphism.html#igraph_count_subisomorphisms_vf2"
"igraph_count_triangles","https://igraph.org/c/html/latest/igraph-Motifs.html#igraph_count_triangles"
"igraph_create","https://igraph.org/c/html/latest/igraph-Generators.html#igraph_create"
"igraph_create_bipartite","https://igraph.org/c/html/latest/igraph-Bipartite.html#igraph_create_bipartite"
"igraph_cycle_graph","https://igraph.org/c/html/latest/igraph-Generators.html#igraph_cycle_graph"
"igraph_cycle_handler_t","https://igraph.org/c/html/latest/igraph-Cycles.html#igraph_cycle_handler_t"
"igraph_decompose","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_decompose"
"igraph_degree","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_degree"
"igraph_degree_1","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_degree_1"
"igraph_degree_correlation_vector","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_degree_correlation_vector"
"igraph_degree_sequence_game","https://igraph.org/c/html/latest/igraph-Games.html#igraph_degree_sequence_game"
"DELALL","https://igraph.org/c/html/latest/igraph-Attributes.html#DELALL"
"igraph_delaunay_graph","https://igraph.org/c/html/latest/igraph-Spatial.html#igraph_delaunay_graph"
"DELEA","https://igraph.org/c/html/latest/igraph-Attributes.html#DELEA"
"DELEAS","https://igraph.org/c/html/latest/igraph-Attributes.html#DELEAS"
"igraph_delete_edges","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_delete_edges"
"igraph_delete_vertices","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_delete_vertices"
"igraph_delete_vertices_map","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_delete_vertices_map"
"DELGA","https://igraph.org/c/html/latest/igraph-Attributes.html#DELGA"
"DELGAS","https://igraph.org/c/html/latest/igraph-Attributes.html#DELGAS"
"DELVA","https://igraph.org/c/html/latest/igraph-Attributes.html#DELVA"
"DELVAS","https://igraph.org/c/html/latest/igraph-Attributes.html#DELVAS"
"igraph_density","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_density"
"igraph_destroy","https://igraph.org/c/html/latest/igraph-Basic.html#igraph_destroy"
"igraph_de_bruijn","https://igraph.org/c/html/latest/igraph-Generators.html#igraph_de_bruijn"
"igraph_dfs","https://igraph.org/c/html/latest/igraph-Visitors.html#igraph_dfs"
"igraph_dfshandler_t","https://igraph.org/c/html/latest/igraph-Visitors.html#igraph_dfshandler_t"
"igraph_diameter","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_diameter"
"igraph_difference","https://igraph.org/c/html/latest/igraph-Operators.html#igraph_difference"
"igraph_dim_select","https://igraph.org/c/html/latest/igraph-Embedding.html#igraph_dim_select"
"igraph_disjoint_union","https://igraph.org/c/html/latest/igraph-Operators.html#igraph_disjoint_union"
"igraph_disjoint_union_many","https://igraph.org/c/html/latest/igraph-Operators.html#igraph_disjoint_union_many"
"igraph_distances","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_distances"
"igraph_distances_bellman_ford","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_distances_bellman_ford"
"igraph_distances_cutoff","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_distances_cutoff"
"igraph_distances_dijkstra","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_distances_dijkstra"
"igraph_distances_dijkstra_cutoff","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_distances_dijkstra_cutoff"
"igraph_distances_floyd_warshall","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_distances_floyd_warshall"
"igraph_distances_johnson","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_distances_johnson"
"igraph_diversity","https://igraph.org/c/html/latest/igraph-Structural.html#igraph_diversity"
"igraph_dominator_tree","https://igraph.org/c/html/latest/igraph-Flows.html#igraph_dominator_tree"
